Date,Clicks,Impressions,CTR,Position
2025-02-15,5,277,1.81%,25.5
2025-02-16,2,312,0.64%,27.2
2025-02-17,15,355,4.23%,18.5
2025-02-18,2,407,0.49%,16.5
2025-02-19,4,441,0.91%,16.3
2025-02-20,6,471,1.27%,21.6
2025-02-21,4,413,0.97%,17.6
2025-02-22,1,281,0.36%,27.8
2025-02-23,2,264,0.76%,28.4
2025-02-24,7,467,1.5%,14.9
2025-02-25,5,439,1.14%,16.7
2025-02-26,8,470,1.7%,18.5
2025-02-27,6,430,1.4%,19.9
2025-02-28,2,377,0.53%,20.4
2025-03-01,2,249,0.8%,28.4
2025-03-02,4,314,1.27%,29.9
2025-03-03,4,455,0.88%,17
2025-03-04,2,355,0.56%,18.5
2025-03-05,3,384,0.78%,21.3
2025-03-06,5,419,1.19%,15.6
2025-03-07,2,371,0.54%,17.7
2025-03-08,2,261,0.77%,25.1
2025-03-09,0,220,0%,24.2
2025-03-10,4,476,0.84%,17.3
2025-03-11,2,403,0.5%,16.2
2025-03-12,3,385,0.78%,18.8
2025-03-13,4,422,0.95%,19
2025-03-14,5,342,1.46%,19.4
2025-03-15,3,256,1.17%,24.8
2025-03-16,0,235,0%,27.1
2025-03-17,8,324,2.47%,18.8
2025-03-18,3,252,1.19%,21.9
2025-03-19,4,283,1.41%,22.4
2025-03-20,3,345,0.87%,25.1
2025-03-21,5,271,1.85%,28.8
2025-03-22,2,277,0.72%,26.6
2025-03-23,6,277,2.17%,25.3
2025-03-24,3,434,0.69%,15.4
2025-03-25,4,381,1.05%,16.4
2025-03-26,3,385,0.78%,16.1
2025-03-27,3,396,0.76%,19.7
2025-03-28,0,360,0%,17
2025-03-29,1,206,0.49%,25
2025-03-30,4,252,1.59%,25.3
2025-03-31,3,445,0.67%,17.4
2025-04-01,5,424,1.18%,14.9
2025-04-02,1,310,0.32%,14.3
2025-04-03,6,367,1.63%,11.8
2025-04-04,2,266,0.75%,13.5
2025-04-05,3,196,1.53%,17.8
2025-04-06,6,240,2.5%,18.1
2025-04-07,9,430,2.09%,10.5
2025-04-08,2,377,0.53%,11.6
2025-04-09,4,313,1.28%,10.4
2025-04-10,3,295,1.02%,9.5
2025-04-11,1,350,0.29%,9.5
2025-04-12,1,184,0.54%,20.9
2025-04-13,2,217,0.92%,20
2025-04-14,5,403,1.24%,9.8
2025-04-15,2,328,0.61%,11.2
2025-04-16,3,274,1.09%,11.5
2025-04-17,3,256,1.17%,12.2
2025-04-18,2,193,1.04%,15.6
2025-04-19,0,170,0%,17.7
2025-04-20,1,170,0.59%,22.4
2025-04-21,6,402,1.49%,15.8
2025-04-22,11,329,3.34%,14.2
2025-04-23,7,308,2.27%,12.4
2025-04-24,7,338,2.07%,13.2
2025-04-25,3,324,0.93%,10.8
2025-04-26,4,190,2.11%,16.2
2025-04-27,3,202,1.49%,16.9
2025-04-28,8,423,1.89%,13.5
2025-04-29,4,334,1.2%,11.3
2025-04-30,2,340,0.59%,13.3
2025-05-01,3,334,0.9%,11.2
2025-05-02,2,281,0.71%,13.8
2025-05-03,1,187,0.53%,16.4
2025-05-04,4,212,1.89%,15.3
2025-05-05,3,362,0.83%,12.1
2025-05-06,3,345,0.87%,14.8
2025-05-07,5,329,1.52%,11.9
2025-05-08,6,341,1.76%,12.2
2025-05-09,3,306,0.98%,12.3
2025-05-10,3,201,1.49%,16.5
2025-05-11,3,191,1.57%,19.3
2025-05-12,2,448,0.45%,14.7
2025-05-13,3,401,0.75%,12.2
2025-05-14,2,360,0.56%,12
2025-05-15,4,360,1.11%,12.7
2025-05-16,6,335,1.79%,14.6
2025-05-17,1,219,0.46%,19.7
2025-05-18,1,213,0.47%,17.6
2025-05-19,2,428,0.47%,13.1
2025-05-20,4,410,0.98%,14.5
2025-05-21,3,350,0.86%,15.4
2025-05-22,1,347,0.29%,17.3
2025-05-23,1,296,0.34%,17.1
2025-05-24,1,225,0.44%,22.9
2025-05-25,3,272,1.1%,22.2
2025-05-26,2,300,0.67%,19.9
2025-05-27,4,368,1.09%,15.4
2025-05-28,6,464,1.29%,15.7
2025-05-29,2,395,0.51%,15.3
