Country,Clicks,Impressions,CTR,Position
United States,1707,122611,1.39%,11.89
Canada,23,2697,0.85%,14.08
Pakistan,21,257,8.17%,18.74
United Kingdom,16,4969,0.32%,13.87
Australia,16,1822,0.88%,11.1
Philippines,13,675,1.93%,15.71
India,12,2791,0.43%,15.15
Germany,7,765,0.92%,15.82
Bangladesh,7,182,3.85%,26.41
Nigeria,6,266,2.26%,12.95
Kenya,6,184,3.26%,12.02
Mexico,5,396,1.26%,25.35
Colombia,5,175,2.86%,24.9
Russia,3,683,0.44%,25.42
Singapore,3,272,1.1%,16.35
Ireland,3,232,1.29%,14.82
Ukraine,3,186,1.61%,21.26
Hong Kong,3,105,2.86%,9.39
Indonesia,2,412,0.49%,21.41
Poland,2,375,0.53%,10.05
Netherlands,2,342,0.58%,12.81
Spain,2,323,0.62%,21.7
France,2,311,0.64%,20.6
Turkey,2,240,0.83%,27.88
Japan,2,146,1.37%,22.73
Switzerland,2,132,1.52%,8.19
Belarus,2,96,2.08%,12.7
Kazakhstan,2,78,2.56%,12.05
Latvia,2,72,2.78%,11.17
Vietnam,1,487,0.21%,40.56
South Korea,1,356,0.28%,37.2
Malaysia,1,307,0.33%,17.91
Sweden,1,298,0.34%,7.47
New Zealand,1,296,0.34%,10.7
Ecuador,1,155,0.65%,33.87
United Arab Emirates,1,121,0.83%,12.99
Austria,1,119,0.84%,8.36
Lithuania,1,106,0.94%,18.11
Norway,1,89,1.12%,10.73
Belgium,1,84,1.19%,8.2
Romania,1,74,1.35%,12.72
Serbia,1,62,1.61%,12.76
Bulgaria,1,61,1.64%,10.98
Jordan,1,57,1.75%,24.75
Venezuela,1,57,1.75%,33.33
Croatia,1,50,2%,12.92
Puerto Rico,1,37,2.7%,19.95
Georgia,1,32,3.12%,13.03
Honduras,1,27,3.7%,22.26
Panama,1,22,4.55%,30.73
Slovenia,1,19,5.26%,6.95
Marshall Islands,1,3,33.33%,4
Brazil,0,2032,0%,41.36
South Africa,0,731,0%,32.96
Italy,0,350,0%,25.13
Saudi Arabia,0,245,0%,23.76
Argentina,0,215,0%,36.3
Thailand,0,181,0%,15.5
Egypt,0,148,0%,24.36
Congo - Kinshasa,0,121,0%,7.69
Iraq,0,113,0%,31.42
Greece,0,107,0%,10.66
Israel,0,107,0%,12.08
Taiwan,0,103,0%,31.24
Peru,0,100,0%,24.13
Morocco,0,96,0%,35.33
Denmark,0,87,0%,11.34
Czechia,0,86,0%,8.91
Cameroon,0,79,0%,8.39
Chile,0,78,0%,26.58
Uzbekistan,0,72,0%,35.12
China,0,65,0%,8.23
Finland,0,65,0%,16.74
Trinidad & Tobago,0,59,0%,24.76
Ghana,0,56,0%,10.11
Algeria,0,56,0%,26.5
Dominican Republic,0,53,0%,28.38
Jamaica,0,52,0%,21.67
Portugal,0,49,0%,19.24
Unknown Region,0,49,0%,28.49
Ethiopia,0,48,0%,17.42
Iran,0,48,0%,27.08
Hungary,0,44,0%,15.16
Tunisia,0,42,0%,33.83
Paraguay,0,41,0%,33.63
Nepal,0,39,0%,30.56
Slovakia,0,37,0%,8.54
Qatar,0,33,0%,13.21
Azerbaijan,0,33,0%,24.91
Albania,0,32,0%,31.81
Costa Rica,0,31,0%,27.81
Uganda,0,30,0%,5.03
Uruguay,0,29,0%,42
Barbados,0,28,0%,20.61
Oman,0,27,0%,14.74
Estonia,0,27,0%,15
Central African Republic,0,24,0%,8.08
Bahamas,0,24,0%,20.92
Kuwait,0,24,0%,27.83
Bolivia,0,24,0%,31.92
Lebanon,0,23,0%,16.43
Congo - Brazzaville,0,22,0%,6.64
Cyprus,0,22,0%,9.55
Iceland,0,21,0%,14.9
Tanzania,0,20,0%,9.4
Moldova,0,19,0%,16.37
Armenia,0,19,0%,22
Bosnia & Herzegovina,0,19,0%,26.63
Zambia,0,18,0%,12.39
Guatemala,0,18,0%,26.44
Cambodia,0,18,0%,29.06
Syria,0,17,0%,8.76
El Salvador,0,17,0%,19.29
Côte d’Ivoire,0,16,0%,17.06
Libya,0,16,0%,18.19
Myanmar (Burma),0,16,0%,18.69
Sri Lanka,0,15,0%,13.4
Bahrain,0,15,0%,19.53
Mauritius,0,14,0%,8.64
Zimbabwe,0,14,0%,10.21
Macedonia,0,13,0%,9.38
Papua New Guinea,0,12,0%,3.75
Jersey,0,11,0%,8.91
Mongolia,0,11,0%,14.36
Malta,0,11,0%,15.82
Belize,0,10,0%,11.7
Gabon,0,10,0%,22.8
Seychelles,0,9,0%,19.33
Kyrgyzstan,0,9,0%,24.78
Palestine,0,9,0%,29.44
Tajikistan,0,8,0%,5.38
Guinea,0,8,0%,6.62
Benin,0,8,0%,19.5
Luxembourg,0,8,0%,22.62
Guyana,0,8,0%,31.62
Senegal,0,8,0%,44
Nicaragua,0,7,0%,9.14
Cayman Islands,0,7,0%,9.29
Isle of Man,0,7,0%,12.86
St. Lucia,0,7,0%,37.43
Kosovo,0,6,0%,12.33
Yemen,0,6,0%,14
Montenegro,0,6,0%,17.17
Aruba,0,6,0%,28.17
Brunei,0,6,0%,29
Guam,0,5,0%,2.6
Malawi,0,5,0%,6.4
Namibia,0,5,0%,12.6
Somalia,0,5,0%,25.8
Angola,0,5,0%,28
Sudan,0,4,0%,1.5
Turkmenistan,0,4,0%,3.75
Monaco,0,4,0%,6.5
Cuba,0,4,0%,8.25
Antigua & Barbuda,0,4,0%,23.5
Rwanda,0,4,0%,29.75
St. Vincent & Grenadines,0,4,0%,31
Burkina Faso,0,4,0%,39.5
Fiji,0,4,0%,47.5
Liberia,0,3,0%,1.67
Sierra Leone,0,3,0%,6
Togo,0,3,0%,15
Grenada,0,3,0%,23
St. Kitts & Nevis,0,3,0%,52.67
Eritrea,0,2,0%,2
Liechtenstein,0,2,0%,2
Curaçao,0,2,0%,2.5
Sint Maarten,0,2,0%,5.5
Afghanistan,0,2,0%,6.5
U.S. Virgin Islands,0,2,0%,6.5
Lesotho,0,2,0%,7
Haiti,0,2,0%,7.5
Dominica,0,2,0%,10
Bermuda,0,2,0%,12.5
Macau,0,2,0%,28.5
Maldives,0,2,0%,35
Mauritania,0,2,0%,37.5
Faroe Islands,0,1,0%,1
Madagascar,0,1,0%,1
Laos,0,1,0%,2
Swaziland,0,1,0%,3
Antarctica,0,1,0%,4
Micronesia,0,1,0%,5
Turks & Caicos Islands,0,1,0%,5
Bhutan,0,1,0%,6
Botswana,0,1,0%,9
Gibraltar,0,1,0%,11
Gambia,0,1,0%,11
Anguilla,0,1,0%,25
Suriname,0,1,0%,37
Burundi,0,1,0%,58
Mozambique,0,1,0%,84
Réunion,0,1,0%,99
